watch_name,type_gender,brand,watch_color,watch_size,length_of_band,price
Chanel J12 Chromatic Watch,F,Chanel,other,15.0,34.0,2950.0
Louis Vuitton Tambour Steel Watch (Q1212),F,Louis Vuitton,steel,15.0,28.0,1000.0
Rolex Combi Watch (126233),M,Rolex,yellow combination,15.0,36.0,15600.0
Omega Seamaster Diver300 Steel Watch,M,OMEGA,steel,19.0,42.0,4900.0
Cartier Ballon Bleu Steel Diamond Watch (Small),F,Cartier,steel,13.0,28.0,4700.0
Hermes Slim Dermes Watch (CA2.110),F,Hermes,other,16.0,25.0,1750.0
Cartier Longe Watch (XL),M,Cartier,black,18.0,42.0,2900.0
Cartier Santos Combi Watch (Medium),M,Cartier,yellow combination,16.0,33.0,8500.0
TAG Heuer Carrera Chrono Watch (CAR2014-2),M,Tagheuer,steel,19.0,43.0,2400.0
Gucci Steel Watch (1500L),F,Gucci,steel,15.0,18.0,250.0
Rolex Combi Diamond Watch (179173),F,Rolex,other,15.0,26.0,11000.0
Rolex Combi Watch (69173),F,Rolex,yellow combination,16.0,26.0,5200.0
Rolex Combi Watch (279173),F,Rolex,yellow combination,14.0,28.0,10500.0
Rolex Combi Diamond Watch (79173),F,Rolex,yellow combination,17.0,26.0,8200.0
Gucci Steel Watch (126.5),F,Gucci,steel,15.0,2.0,260.0
Tag Heuer Carrera Chrono Steel Watch (CAR2111-3),M,Tagheuer,steel,17.0,41.0,2200.0
Omega Constellation Steel Watch,Both,OMEGA,steel,16.0,33.0,850.0
Oris Ackers Steel Watch (7730),M,Oris,steel,18.0,43.0,1100.0
Bulgari B.zero1 Diamond Steel Watch (BZ22S),F,Bvlgari,steel,15.0,22.0,1400.0
Tiffany Atlas Chrono Steel Watch,F,Tiffany,white,17.0,36.0,1100.0
Bulgari BB Steel Watch (BB33SSAUTO),F,Bvlgari,steel,16.0,33.0,1350.0
Hermes H Hour Gold Plated Watch (HH1.201),F,Hermes,other,16.0,25.5,1750.0
Omega Deville Diamond Steel Watch,F,OMEGA,steel,14.0,27.0,1500.0
Bulgari B.zero1 Diamond Steel Watch (BZ22S),F,Bvlgari,other,15.0,22.0,1050.0
Omega Seamaster Steel Watch,F,OMEGA,steel,13.0,26.0,850.0
Chanel Matrazé Steel Watch,F,Chanel,steel,13.0,19.0,900.0
Hermes Cape Cod Steel Watch (CC1.210a),F,Hermes,dark blue,16.0,28.0,1750.0
Hermes H Hour Gold Plated Watch (HH1.201),F,Hermes,other,16.0,25.5,1250.0
Cartier Tank Francaise Steel Watch,M,Cartier,steel,18.0,30.0,3100.0
Tiffany Atlas Steel Watch,M,Tiffany,steel,18.0,38.0,1500.0
Bulgari B.zero1 Steel Watch (BZ22S),F,Bvlgari,other,17.0,22.0,620.0
Chanel Premier Rock Steel Watch (H4326),F,Chanel,other,14.0,20.0,2850.0
Cartier Solo Tank Steel Watch,M,Cartier,black,20.0,31.0,2800.0
Cartier Ballon Bleu Combination Watch,F,Cartier,yellow combination,14.0,36.0,5800.0
Hermes Clipper Steel Watch (CL6.710),Both,Hermes,steel,15.0,36.0,750.0
Bulgari BB Combi Watch (BB26SG),F,Bvlgari,yellow combination,14.0,26.0,1350.0
Louis Vuitton Tambour Steel Smartwatch (QA052),M,Louis Vuitton,other,20.0,4.0,2300.0
Gucci Gold Plated Combi Watch (126.5),F,Gucci,other,14.0,27.0,400.0
Gucci Steel Watch (5200L.1),F,Gucci,other,17.0,27.0,250.0
Louis Vuitton Tambour Steel Watch (Q1311),F,Louis Vuitton,dark blue,17.0,34.0,1050.0
Montblanc Star Legacy Steel Watch,M,MontBlanc,brown,20.0,39.0,980.0
Piaget Altiprano Gold Watch,M,Piaget,dark blue,18.0,38.0,11300.0
Chaumet Class One Chrono Steel Watch,M,Chaumet,black,16.0,40.0,1300.0
Bulgari B.zero1 12P diamond steel watch (BZ22S),F,Bvlgari,steel,14.0,22.0,1200.0
Bvlgari Ergon Chrono Diamond Steel Watch (EG35SCH),F,Bvlgari,white,17.0,35.0,1250.0
Cartier Tank Francaise Steel Watch (W51035Q3),F,Cartier,steel,15.0,22.5,2300.0
Gucci Chrono Steel Watch (131.2),M,Gucci,other,20.0,44.0,420.0
Rolex Submariner Combi Watch (116613LN),M,Rolex,yellow combination,17.0,40.0,19000.0
Gucci Steel Watch (126.4),M,Gucci,steel,15.0,38.0,1100.0
Ferragamo Gold Plated Watch,F,Ferragamo,other,15.0,22.0,280.0
Gucci Steel Watch (142.3),M,Gucci,steel,18.0,40.0,380.0
Ferragamo Gold Plated Watch,F,Ferragamo,other,14.0,22.0,300.0
Bulgari BB Steel Watch (BB23SS),F,Bvlgari,steel,13.0,23.0,700.0
Gucci Steel Watch (142.3),M,Gucci,steel,17.0,41.0,400.0
Breitling Trendocean Chrono Gold Watch (RB0510),M,BREITLING,brown,18.0,46.0,14300.0
Gucci Diamond Steel Watch (142.5),F,Gucci,steel,16.0,29.0,670.0
Longines Conquest V.H.P Steel Watch (L3.716.4),M,LONGINES,steel,19.0,3.0,600.0
Montblanc Heritage Steel Watch (119947),M,MontBlanc,other,20.0,3.0,1850.0
Cartier Pasha Steel Watch,F,Cartier,grey,14.0,2.0,1700.0
Cartier Drive Steel Watch,M,Cartier,black,18.0,4.0,6500.0
IWC Aquatimer Chrono Steel Watch,M,IWC,black,20.0,4.0,4100.0
Tiffany Diamond Silver Watch (60761523),F,Tiffany,black,15.0,24.5,1850.0
tiffany steel watch,F,Tiffany,navy,18.0,15.5,2200.0
Hermes Kelly Gold Plated Watch,F,Hermes,blue,16.0,11.0,600.0
Hermes H Hour Gold Plated Watch (HH1.101),F,Hermes,brown,16.0,17.0,1850.0
Hermes H Hour Gold Plated Watch (HH1.101),F,Hermes,other,16.0,17.0,1850.0
Omega Seamaster Diver300 Steel Watch,M,OMEGA,black,16.0,4.0,4100.0
Frederique Constant Chrono Steel Watch (FC-292MG5B6B),M,Frederique Constant,steel,16.0,3.0,450.0
Gucci Steel Watch (126.5),F,Gucci,other,17.0,2.0,400.0
Oris Ackers Steel Watch (01 733 7730),M,Oris,steel,18.0,4.0,980.0
Gucci Gold Plated Combi Watch (126.4),M,Gucci,other,18.0,3.0,500.0
IWC Portuguese Steel Watch (IW545408),M,IWC,black,21.0,4.0,5800.0
Chanel Premier Steel Watch,F,Chanel,steel,16.0,15.0,2550.0
Hermes H Hour Steel Watch (HH1.110),F,Hermes,other,16.0,9.0,1600.0
Bulgari B.zero1 Steel Watch (BZ22S),F,Bvlgari,other,14.0,2.0,585.0
Breitling Bentley Barnetto Steel Watch (A25366),M,BREITLING,steel,19.0,47.0,4950.0
Cartier Longe Solo Steel Watch,Both,Cartier,steel,17.0,36.0,2800.0
IWC Portuguese Perpetual Calendar Gold Watch,M,IWC,black,17.0,42.0,24700.0
Cartier Tank Steel Watch (Small),F,Cartier,steel,15.0,20.0,3100.0
Omega Seamaster Diver300 Steel Watch,M,OMEGA,steel,21.0,41.0,2200.0
Breitling Superocean Steel Watch (A17364),M,BREITLING,steel,20.0,41.0,2100.0
Cartier Tank Steel Watch (Small),F,Cartier,steel,14.0,20.0,3050.0
Breitling Transocean Steel Watch (A45310),M,BREITLING,brown,20.0,43.0,2500.0
Bulgari B.zero1 Watch (BZ22S),F,Bvlgari,black,14.0,22.0,750.0
Van Kleep & Arpels Alhambra Gold Watch,F,Van Cleef & Arpels,black,16.0,25.0,7100.0
Omega Constellation combination watch,F,OMEGA,yellow combination,15.0,28.0,1720.0
Rolex Datejust 10P Diamond Steel Watch (179174),F,Rolex,steel,15.0,26.0,8150.0
TAG Heuer Carrera Chrono Steel Watch (CAR2110-2),M,Tagheuer,steel,16.0,41.0,2200.0
Van Kleep & Arpels Charm Diamond Gold Watch,F,Van Cleef & Arpels,blue,17.0,32.0,12300.0
Louis Vuitton Tambour Chrono Steel Watch (Q102D),M,Louis Vuitton,black,19.0,44.0,2600.0
Breitling Navitimer Chrono Steel Watch (AB0121),M,BREITLING,steel,17.0,43.0,7600.0
Rolex GMT Master 2 Steel Watch (126710BLNR),M,Rolex,steel,19.0,40.0,25000.0
Rolex Oyster Perpetual Steel Watch (177200),F,Rolex,steel,15.0,31.0,5300.0
Christian Dior Gem Steel Watch (CD18111X1001),F,Christian Dior,steel,15.0,25.5,2100.0
Cartier Ballon Bleu Gold Watch,F,Cartier,other,17.0,28.0,6800.0
Ferragamo gold-plated combination watch,F,Ferragamo,other,14.0,27.0,280.0
Rolex Datejust 10P Diamond Steel Watch (116234),M,Rolex,steel,17.0,36.0,10700.0
IWC Portupino 8 Days Steel Watch (IW510103),M,IWC,brown,21.0,45.0,7300.0
Gucci Steel Watch (147.5),F,Gucci,other,18.0,19.5,280.0
IWC Portuguese Chrono Steel Watch (IW371447),M,IWC,black,17.0,41.0,4800.0
Hamilton Flight Timer Chrono Steel Watch (H64514181),M,,steel,17.0,39.0,500.0
Ferragamo Gold Plated Watch,F,Ferragamo,other,15.0,24.0,320.0
Rolex Combi Watch (279161),F,Rolex,pink combination,15.0,28.0,9000.0
Omega Constellation Dia Steel Watch,F,OMEGA,steel,14.0,25.0,1250.0
Tiffany Atlas Steel Watch,F,Tiffany,steel,16.0,29.0,850.0
Tudor Black Bay Steel Watch (79230),M,TUDOR,steel,19.0,41.0,3000.0
IWC Pilot Double Chrono Steel Watch (IW371808),M,IWC,other,18.0,44.0,8400.0
Jaeger Lecoultre Master Ultra Thin Moon Phase Steel Watch (Q1258420),F,Jaeger leCoultre,blue,14.0,34.0,6600.0
Gucci Steel Watch (126.4),M,Gucci,steel,16.0,38.0,420.0
Fendi Steel Watch (4700G),M,Fendi,steel,18.0,43.0,250.0
Omega Seamaster Aqua Terra Steel Watch (231.10.42),M,OMEGA,steel,16.0,40.0,3650.0
TAG Heuer Carrera Chrono Steel Watch (CAR2013-0),M,Tagheuer,black,16.0,43.0,2100.0
Gucci Gold Plated Watch (126.4),M,Gucci,other,19.0,38.0,380.0
Cartier Rotonde Steel Watch,M,Cartier,black,19.0,42.0,5500.0
Tag Heuer Aquaracer Steel Watch (WAY101A),M,Tagheuer,steel,17.0,44.0,1050.0
Gucci Gold Plated Watch (128.5),F,Gucci,brown,16.0,16.0,350.0
IWC Portupino Chrono Steel Watch (IW391001),M,IWC,black,20.0,41.0,3500.0
Hermes Kelly 2 Two Strap Dia Steel Watch (KT1.230),F,Hermes,other,14.0,28.0,760.0
Rolex Daytona Chrono Gold Watch (116515LN),M,Rolex,black,16.0,40.0,65000.0
Gucci Steel Watch (125.5),F,Gucci,steel,14.0,23.0,315.0
Hermes gold-plated combination watch,F,Hermes,grey,17.0,27.0,800.0
Rolex Datejust Combination Watch (279173),F,Rolex,yellow combination,14.0,28.0,12900.0
Hamilton Below Zero Steel Watch,M,,steel,17.0,44.0,900.0
Montblanc Star Classic Watch,F,MontBlanc,white,18.0,34.0,550.0
Franck Muller Heart to Heart Gold Diamond Watch,F,Franck Muller,other,16.0,32.0,9200.0
Hamilton Jazzmaster Maestro Chrono Steel Watch (H32576141),M,,steel,17.0,40.0,750.0
Hamilton Khaki Navy Pioneer Steel Watch (Table Clock Available),M,,brown,19.0,47.0,1500.0
Rolex Day-Date Gold Watch (18038),M,Rolex,yellow gold,16.0,36.0,17900.0
Rolex GMT Master 2 Steel Watch (116710BLNR),M,Rolex,steel,15.0,40.0,20700.0
Chanel Mademoiselle Privé Gold Diamond Watch,F,Chanel,black,19.0,37.0,12900.0
Hermes H Hour Gold Diamond Watch (HH1.273),F,Hermes,other,16.0,21.0,13700.0
Cartier American Tank Gold Diamond Watch,F,Cartier,other,17.0,27.5,20500.0
Oris Ackers Steel Watch (7730),M,Oris,black,24.0,43.0,1100.0
Cartier Anglaise Tank Gold Watch,F,Cartier,other,19.0,26.0,9800.0
Bulgari Asioma Gold Watch (AAP48G HR),M,Bvlgari,brown,20.0,42.5,12800.0
Franck Muller Platinum Rotor Diamond Watch,M,Franck Muller,black,20.0,33.0,9800.0
IWC Portuguese 7DAYS Watch,M,IWC,black,16.0,42.0,8500.0
Piaget Altiprano Gold Diamond Watch,F,Piaget,other,19.0,30.0,9100.0
Cartier American Tank Gold Diamond Watch,F,Cartier,other,15.0,28.0,20900.0
Hermes Nantucket Gold Diamond Watch (NA2.271),F,Hermes,black,16.0,23.5,6900.0
IWC Big Pilot Steel Watch (IW500916),M,IWC,dark blue,20.0,46.0,9800.0
Breguet Marine Gold Chrono Watch,M,Breguet,other,17.0,35.0,12800.0
Rolex Combi Diamond Watch (126201),M,Rolex,other,18.0,36.0,14800.0
Rolex Gold Diamond Watch (118348),M,Rolex,other,18.0,36.0,35700.0
Rolex Gold Watch (179178),F,Rolex,other,16.0,26.0,15800.0
Rolex Gold Diamond Watch (179178),F,Rolex,other,15.0,26.0,18300.0
Rolex Gold Diamond Watch (179179),F,Rolex,other,15.0,26.0,17800.0
Rolex Steel Watch (67230),F,Rolex,steel,18.0,25.0,3400.0
Audemars Piguet Royal Oak Offshire Chrono Dia Steel Watch,Both,Audemars Piguet,black,16.0,37.0,52000.0
Hermes Nantucket Diamond Steel Watch (NA3.230),F,Hermes,blue,16.0,32.0,5900.0
Panerai Luminor Steel Watch,M,PANERAI,brown,21.0,24.0,5200.0
Omega Seamaster Aqua Terra Steel Watch (220.10.41),M,OMEGA,steel,17.0,4.0,4000.0
Cartier Santos 100 Combi Watch,M,Cartier,brown,17.0,20.0,5200.0
Cartier Santos Dumont Steel Watch,F,Cartier,other,18.0,17.5,4000.0
Chanel J12 Diamond Ceramic Watch,M,Chanel,black,17.0,39.0,7900.0
Montblanc Nicolas Reshack Chrono Steel Watch (106488),M,MontBlanc,black,16.0,4.0,4000.0
Cartier Ballon Bleu Diamond Watch,F,Cartier,other,18.0,3.0,11650.0
Jaeger Lecoultre Polaris Steel Watch (Q9008180),M,Jaeger leCoultre,steel,17.0,4.0,7200.0
Tag Heuer Link Steel Watch (WBC2110-0),M,Tagheuer,steel,18.0,40.0,1880.0
Hermes H Hour Steel Watch (HH1.510),Both,Hermes,brown,17.0,30.5,1180.0
Vacheron Constantin Patrimony Diamond Gold Watch,Both,Vacheron constantin,other,18.0,31.0,14000.0
Tag Heuer Aquaracer Steel Watch (WAY201B),M,Tagheuer,steel,18.0,44.0,1350.0
Rolex Datejust 10P Diamond Combi Watch (16233),M,Rolex,yellow combination,17.0,36.0,7000.0
Rolex Seedweller Combi Watch (126603),M,Rolex,yellow combination,17.0,43.0,19500.0
Rolex Combi Diamond Watch (179173),F,Rolex,yellow combination,14.0,26.0,13000.0
Cartier Tank Anglaise Combi Diamond Watch,M,Cartier,yellow combination,16.0,34.5,7000.0
Tag Heuer Aquaracer Steel Watch (WAY131K),F,Tagheuer,steel,16.0,35.0,850.0
TAG Heuer Carrera Chrono Watch (CAR2014-0),M,Tagheuer,steel,18.0,43.0,2700.0
Fendi Steel Watch (6000G),M,Fendi,steel,16.0,34.0,200.0
Fendi Gold Plated Watch (3800L),F,Fendi,brown,16.0,27.5,250.0
Fendi Steel Watch (6000L),F,Fendi,steel,14.0,28.0,155.0
Omega Deville Steel Watch (424.13.40),M,OMEGA,black,18.0,39.0,3600.0
Hermes Nantucket Steel Diamond Watch (NA2.132),F,Hermes,steel,14.0,20.0,6500.0
Hermes Assault Steel Watch (AR7Q.810),M,Hermes,other,18.0,40.0,2500.0
Cartier Panther Diamond Gold Watch,F,Cartier,other,15.0,22.0,21000.0
Rolex Datejust Combination Watch (279173),F,Rolex,yellow combination,13.0,28.0,13000.0
Cartier Tank Combi Watch (Medium),Both,Cartier,other,17.0,25.0,2700.0
Breitling Avenger 2 GMT Watch (A32390),M,BREITLING,navy,17.0,43.0,2500.0
Rolex Air King Steel Watch (114200),M,Rolex,steel,16.0,34.0,5500.0
Rolex Datejust Diamond Steel Watch (279384),F,Rolex,steel,14.0,28.0,19000.0
Breitling Navitimer Watch (A17326),M,BREITLING,black,19.0,41.0,3700.0
Hublot Classic Fusion Titanium Diamond Watch,F,HUBLOT,black,14.0,33.0,14000.0
Rolex Combi Diamond Watch (179383),F,Rolex,other,15.0,26.0,17300.0
Rolex Daytona Chrono Gold Watch (116509),M,Rolex,other,18.0,40.0,59000.0
Cartier Santos Dumont Combi Watch (W2SA0012),F,Cartier,other,17.0,33.0,5500.0
Breitling Navitimer Chrono Steel Watch (AB0127),M,BREITLING,steel,18.0,46.0,6700.0
Tag Heuer Aquaracer Steel Watch (WAY1110),M,Tagheuer,steel,16.0,41.0,850.0
Rolex Submariner Combination Watch (16613),M,Rolex,yellow combination,15.0,40.0,12500.0
Rolex Daytona Chrono Diamond Gold Watch (116518LN),M,Rolex,black,16.0,40.0,59000.0
IWC Mark 18 Steel Watch (IW327009),M,IWC,black,18.0,40.0,4200.0
Hermes H Hour Two Strap Watch (HH1.220),F,Hermes,white,16.0,21.0,1950.0
Rolex Daytona Chrono Gold Watch (116509),M,Rolex,other,18.0,40.0,64000.0
Cartier Tank Combi Watch (Small),F,Cartier,other,15.0,20.0,2500.0
Chanel J12 diamond watch,F,Chanel,white,16.0,34.0,4800.0
Ferragamo Gancini steel watch,F,Ferragamo,other,17.0,25.0,550.0
Bvlgari Luce Diamond Combi Watch (LUP28SG),F,Bvlgari,pink combination,16.0,28.0,5500.0
Rolex GMT Master 2 Steel Watch (116710BLNR),M,Rolex,steel,19.0,40.0,19900.0
Omega Seamaster Aqua Terra Sedna Combi Watch (220.22.38),M,OMEGA,blue,19.0,38.0,6800.0
Rolex Steel Diamond Watch (178274),F,Rolex,steel,14.0,31.0,10500.0
IWC Portupino Steel Watch (IW356517),M,IWC,black,19.0,40.0,3500.0
Hermes H Hour Steel Watch (HH1.210),F,Hermes,blue,16.0,25.5,1200.0
Chanel J12 Diamond Ceramic Watch,F,Chanel,white,15.0,34.0,4700.0
Gucci Gold Plated Watch (147.5),F,Gucci,black,16.0,20.0,400.0
Omega Seamaster Diver300 Steel Watch,M,OMEGA,steel,19.0,42.0,4800.0
Hermes Cape Cod Steel Watch (CC3.710),Both,Hermes,other,17.0,35.0,2400.0
Hermes H Hour Diamond Gold Plated Watch (HH1.202),F,Hermes,black,15.0,25.5,3240.0
Zenith Star Moonphase Diamond Gold Watch (22.1925.682),Both,ZENITH,dark blue,17.0,37.0,11900.0
Bulgari B.zero1 Steel Watch (BZ22S),F,Bvlgari,white,14.0,22.0,750.0
Gucci Steel Watch (126.4),M,Gucci,other,20.0,38.0,570.0
Tag Heuer Aquaracer Steel Watch (WAP1110),M,Tagheuer,steel,16.0,39.0,940.0
Bvlgari Antalya Diamond Gold Watch (BJ03),F,Bvlgari,yellow gold,16.0,20.0,9850.0
Hermes H Hour Two Strap Gold Plated Watch (HH1.201e),F,Hermes,brown,15.0,25.5,2300.0
Rolex Datejust Steel Watch (126334),M,Rolex,steel,17.0,41.0,18500.0
Longines DolceVita Steel Watch (L5.655.4),M,LONGINES,steel,15.0,33.0,580.0
Rolex GMT Master 2 Steel Watch (126710BLNR),M,Rolex,steel,18.0,40.0,24000.0
Cartier Solo Tank Gold Watch,F,Cartier,green,16.0,27.5,5800.0
Cartier American Tank Steel Watch,F,Cartier,other,16.0,27.0,3800.0
Boucheron diamond steel watch,Both,BOUCHERON,black,14.0,33.0,8050.0
chaumet steel watch,F,Chaumet,steel,13.0,24.5,690.0
Rolex Combi Diamond Watch (279171),F,Rolex,pink combination,13.0,28.0,19000.0
Breguet Rein de Naples Diamond Gold Watch (8918),F,Breguet,black,17.0,33.0,35000.0
Chaumet Dia steel watch,F,Chaumet,brown,16.0,24.5,1600.0
Rolex Datejust Combination Watch (16233),M,Rolex,yellow combination,19.0,36.0,6200.0
Fendi B Gold Plated Watch (3800L),F,Fendi,brown,16.0,27.5,300.0
Rolex Combi Watch (179171),F,Rolex,pink combination,15.0,26.0,10500.0
Rolex Datejust Combination Watch (116333),M,Rolex,yellow combination,19.0,41.0,15400.0
Hermes Assault Steel Watch (AR8.810),M,Hermes,other,18.0,43.0,3900.0
Hermes Cape Cod Diamond Watch (CC1.330),F,Hermes,grey,16.0,23.0,8000.0
Bulgari BB Combi Watch (BB33SGL),Both,Bvlgari,brown,19.0,33.0,1300.0
Hermes H Hour Gold Plated Watch (HH1.801),Both,Hermes,brown,17.0,36.0,2300.0
Cartier Solo Tank Watch (Small),F,Cartier,black,15.0,24.0,3200.0
Tag Heuer Aquaracer Steel Watch (WAY211A-0),M,Tagheuer,steel,18.0,41.0,1600.0
Breitling Navitimer Chrono Steel Watch (AB0127),M,BREITLING,steel,18.0,46.0,6000.0
Rolex Datejust 10P Diamond Combi Watch (116233),M,Rolex,yellow combination,17.0,36.0,14800.0
Rolex Submariner Steel Watch (114060),M,Rolex,steel,18.0,40.0,15000.0
Breguet Classic Gold Watch (5140),M,Breguet,navy,19.0,41.0,13000.0
Bulgari B.zero1 Watch (BZ30S),F,Bvlgari,black,15.0,30.0,1390.0
Breitling Avenger Seawolf Steel Watch (A17330),M,BREITLING,steel,18.0,44.0,2800.0
Omega Speedmaster Steel Chrono Watches,M,OMEGA,steel,18.0,39.0,2000.0
Rolex Datejust Steel Watch (116234),M,Rolex,steel,17.0,36.0,10000.0
TAG Heuer Carrera Steel Chrono Watch (CAR2014),M,Tagheuer,steel,20.0,44.0,2200.0
Cartier Santos 100 Steel Watch,M,Cartier,black,18.0,44.5,4000.0
Cartier Ballon Bleu Steel Watch (Medium),Both,Cartier,steel,16.0,36.0,4000.0
Breitling Avenger Steel Watch (A32397),M,BREITLING,steel,18.0,43.0,3600.0
Rolex Combi Watch (67193),F,Rolex,yellow combination,17.0,25.0,5800.0
Cartier Tank MC Chrono Gold Watch,M,Cartier,black,19.0,33.5,14000.0
IWC Portupino Chrono Steel Watch (IW391009),M,IWC,steel,19.0,42.0,4450.0
Fendi Selleria Steel Watch (8100M),F,Fendi,other,17.0,37.0,405.0
Fendi Steel Watch (1200L),F,Fendi,steel,16.0,23.0,225.0
Louis Vuitton Tambour GMT Steel Watch (Q1152),M,Louis Vuitton,other,14.0,41.0,2500.0
Cartier Santos Combi Watch,Both,Cartier,yellow combination,17.0,29.0,3000.0
Burberry Steel Watch (BU9001),F,BURBERRY,steel,16.0,38.0,235.0
Christian Dior Crystal Diamonds Steel Watch (CD112111),F,Christian Dior,other,14.0,29.0,1100.0
Tag Heuer Aquaracer Steel Watch (WBD1112),M,Tagheuer,steel,17.0,41.0,1200.0
Christian Dior Diamond Steel Watch,F,Christian Dior,black,16.0,22.5,450.0
Piaget New Paulo Diamond Gold Watch,Both,Piaget,white,16.0,38.0,15000.0
Rolex Submariner Steel Watch (114060),M,Rolex,steel,17.0,40.0,13000.0
Cartier Ballon Bleu Steel Watch (Medium),Both,Cartier,steel,17.0,36.0,4300.0
Hermes H Hour Diamond Gold Watch (HH4.272),F,Hermes,green,15.0,25.5,11000.0
Cartier Santos Dumont Combi Watch,M,Cartier,black,19.0,37.5,5500.0
Omega Constellation Steel Watch,M,OMEGA,steel,18.0,35.0,900.0
Rolex Submariner Steel Watch (124060),M,Rolex,steel,17.0,41.0,19000.0
Rolex Datejust 10P Diamond Combi Watch (279171),F,Rolex,pink combination,15.0,28.0,17000.0
Blancpain Villeret Moonphase Gold Watch (6106-3642-55A),F,Blancpain,brown,16.0,29.0,11000.0
Cartier Ballon Bleu Diamond Watch (W6920071),F,Cartier,steel,14.0,33.0,8600.0
Tag Heuer Formula Steel Chrono Watch (CAU1111),M,Tagheuer,steel,20.0,41.0,800.0
Omega Constellation Diamond Combi Watch (131.20.28),F,OMEGA,pink combination,15.0,28.0,3500.0
Rolex Combi Watch (126333),M,Rolex,yellow combination,19.0,41.0,17500.0
Rolex Datejust Combination Watch (179173),F,Rolex,yellow combination,14.0,26.0,8500.0
Rolex Air King Steel Watch (14000),F,Rolex,steel,14.0,34.0,5500.0
Cartier 21st Century Gold Plated Combination Watch,F,Cartier,other,15.0,28.0,1000.0
Rolex Datejust Diamond Combi Watch (279381),F,Rolex,pink combination,14.0,28.0,19900.0
Omega Constellation Steel Diamond Watch,F,OMEGA,steel,16.0,27.0,1800.0
Hermes Cape Cod Steel Watch (CC2.710),Both,Hermes,other,17.0,35.0,2350.0
Rolex GMT Master 2 Steel Watch (116710LN),M,Rolex,steel,16.0,40.0,16600.0
Cartier Demoiselle Steel Watch,F,Cartier,steel,15.0,26.0,2280.0
Hermes H Hour Two Strap Watch (HH1.110),F,Hermes,other,16.0,17.0,1600.0
Damiani Belle Epoque Gold Diamond Watch,F,Damiani,white,17.0,32.0,7700.0
Hermes H Hour Steel Watch (HH1.110),F,Hermes,brown,16.0,20.5,1300.0
Chanel Boyfriend Steel Watch (H4876),F,Chanel,steel,14.0,24.5,3800.0
Hermes H Hour Steel Watch (HH1.210c),F,Hermes,other,16.0,25.5,2100.0
Tag Heuer Formula 1 Chrono Steel Watch (CAZ2010),M,Tagheuer,steel,18.0,44.0,1550.0
Gucci Steel Watch (126.4),M,Gucci,steel,18.0,38.0,450.0
Tag Heuer Aquaracer Chrono Steel Watch (CAY1110-0),M,Tagheuer,steel,18.0,44.0,1650.0
Hermes H Hour Steel Watch (HH1.210),F,Hermes,other,16.0,25.5,1250.0
Tudor Blackbay58 Steel Watch (79030),M,TUDOR,steel,18.0,39.0,3800.0
Tag Heuer Aquaracer Steel Watch (WAY211A-1),M,Tagheuer,steel,16.0,42.0,1450.0
Cartier Solo Tank Steel Watch,F,Cartier,black,17.0,27.5,2800.0
Cartier Longe Solo Steel Watch (W6700155),F,Cartier,black,16.0,29.0,2700.0
Bulgari B.zero1 Diamond Steel Watch (BZ22S),F,Bvlgari,steel,15.0,22.0,1250.0
Bulgari Octo Combi Watch (OCP41SG),M,Bvlgari,black,19.0,41.0,5700.0
Boucheron diamond steel watch,F,BOUCHERON,black,16.0,24.0,2200.0
Fendi Selleria Steel Watch (3800L),F,Fendi,brown,15.0,27.5,250.0
Rolex Datejust 10P Diamond Combi Watch (126333),M,Rolex,yellow combination,17.0,41.0,19400.0
Rolex Datejust 10P Diamond Combi Watch (279171),F,Rolex,pink combination,14.0,28.0,14900.0
Rolex Datejust 10P Diamond Steel Watch (126234),M,Rolex,steel,16.0,36.0,14900.0
Rolex Seedweller Deepsea Steel Watch (116660),M,Rolex,steel,17.0,44.0,12500.0
Rolex Datejust Steel Watch (179174),F,Rolex,steel,15.0,26.0,7100.0
Rolex 10P Diamond Combi Watch (126233),Both,Rolex,yellow combination,17.0,36.0,18800.0
Rolex Seedweller Deepsea Steel Watch (126660),M,Rolex,steel,19.0,44.0,20300.0
Rolex Datejust Diamond Combi Watch (126281),M,Rolex,pink combination,17.0,36.0,23200.0
Rolex Datejust 10P Diamond Combi Watch (278273),F,Rolex,other,13.0,31.0,16500.0
Rolex Datejust 10P Diamond Combi Watch (179173),F,Rolex,yellow combination,14.0,26.0,11400.0
Cartier Anglaise Tank Steel Watch (Small),F,Cartier,steel,16.0,23.0,2800.0
Rolex Datejust Steel Watch (179174),F,Rolex,steel,13.0,26.0,7800.0
Rolex Daytona Chrono Gold Watch (116515),M,Rolex,black,16.0,40.0,61300.0
Rolex Yachtmaster Gold Watch (268655),Both,Rolex,black,14.0,37.0,32600.0
Rolex Datejust Steel Watch (178240),F,Rolex,steel,14.0,31.0,5600.0
Rolex Datejust Diamond Combi Watch (278273),F,Rolex,yellow combination,14.0,31.0,18500.0
Rolex Datejust 10P Diamond Combi Watch (116233),M,Rolex,yellow combination,18.0,36.0,12800.0
Rolex Datejust Diamond Combi Watch (279173),F,Rolex,yellow combination,13.0,28.0,17800.0
Rolex Oyster Perpetual Steel Watch (124300),M,Rolex,steel,17.0,41.0,10200.0
Rolex Datejust Diamond Combi Watch (279173),F,Rolex,yellow combination,15.0,28.0,18600.0
Rolex Datejust Diamond Combi Watch (116243),M,Rolex,yellow combination,18.0,36.0,23000.0
